"English language learners","Enrollment","Guidance counselors","instructional_aides_fte","lea_admin_support_staff_fte","lea_administrators_fte","librarian_specialists_fte","librarian_support_staff_fte","number_of_schools","other_staff_fte","school_admin_support_staff_fte","school_administrators_fte","school_counselors_fte","school_psychologists_fte","school_staff_total_fte","spec_ed_students","supervisory_union_number","support_staff_other_fte","support_staff_stu_wo_psych_fte","support_staff_students_fte","teachers_elementary_fte","teachers_kindergarten_fte","teachers_prek_fte","teachers_secondary_fte","teachers_total_fte","teachers_ungraded_fte","migrantYN"
-1,71,-1,-1,-1,-1,-1,-1,7,0,-1,-1,0,0,0,72,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
770,3790,8,-1,-1,2,7,3,5,0,49,11,0,0,0,267,0,134,0,10,111,24,1,89,225,-2,"No"
436,5647,15,-1,-1,2,13,4,15,0,79,24,0,0,0,665,0,294,0,17,180,38,5,167,390,-2,"No"
758,12479,32,-1,-1,2,17,17,16,0,232,41,0,0,0,1007,0,744,0,45,447,101,9,457,1015,-2,"No"
368,8298,17,-1,-1,1,11,9,10,0,79,26,0,0,0,824,0,331,0,34,209,45,4,223,481,-2,"No"
-1,374,-1,-1,-1,-1,-1,-1,4,0,-1,-1,0,0,0,374,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,"No"
23,1406,3,-1,-1,1,3,1,3,0,26,6,0,0,0,172,0,36,0,2,41,12,-1,38,91,-2,"No"
247,2173,6,-1,-1,2,5,-1,5,0,31,9,0,0,0,184,0,90,0,9,74,9,4,56,143,-2,"No"
65,4118,9,-1,-1,1,5,5,4,0,48,11,0,0,0,357,0,184,0,16,118,21,-1,129,268,-2,"No"
-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,"No"
-1,25,-1,-1,-1,-1,-1,-1,5,0,-1,-1,0,0,0,25,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,8,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,8,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,"No"
-1,359,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,11,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,11,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,15,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,15,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,17,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,17,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,12,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,12,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,2,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,2,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,13,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,13,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,13,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,14,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
69,3476,10,-1,-1,1,6,3,5,0,31,14,0,0,0,480,0,133,0,7,112,24,-1,99,235,-2,"No"
-1,6,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,6,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,49,-1,-1,-1,-1,-1,-1,5,0,-1,-1,0,0,0,49,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,56,-1,-1,-1,-1,-1,-1,3,0,-1,-1,0,0,0,56,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-2,-2,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,-2,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,15,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,15,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,18,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,18,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
