"English language learners","Enrollment","Guidance counselors","instructional_aides_fte","lea_admin_support_staff_fte","lea_administrators_fte","librarian_specialists_fte","librarian_support_staff_fte","number_of_schools","other_staff_fte","school_admin_support_staff_fte","school_administrators_fte","school_counselors_fte","school_psychologists_fte","school_staff_total_fte","spec_ed_students","supervisory_union_number","support_staff_other_fte","support_staff_stu_wo_psych_fte","support_staff_students_fte","teachers_elementary_fte","teachers_kindergarten_fte","teachers_prek_fte","teachers_secondary_fte","teachers_total_fte","teachers_ungraded_fte","migrantYN"
-1,13,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,13,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,4,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,4,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,3,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,3,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,78,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,78,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,20,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,20,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,8,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,8,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,17,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,24,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,24,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
9,1684,4,-1,-1,1,3,2,3,0,15,7,0,0,0,179,0,53,0,3,58,14,12,44,128,-2,"No"
42,2443,5,-1,-1,6,7,-1,9,0,28,10,0,0,0,297,0,64,0,19,74,22,-1,55,151,-2,"No"
14,2458,6,-1,-1,1,4,3,4,0,28,12,0,0,0,228,0,111,0,12,76,14,1,80,172,-2,"No"
268,2985,8,-1,-1,1,7,2,7,0,26,11,0,0,0,254,0,131,0,8,111,35,-1,80,226,-2,"No"
-1,10,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,10,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,48,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,48,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,11,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,11,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,166,-1,-1,-1,-1,-1,-1,4,0,-1,-1,0,0,0,166,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,54,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,54,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,18,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,17,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
71,1680,4,-1,-1,1,4,-1,4,0,18,7,0,0,0,294,0,98,0,7,39,7,-1,68,114,-2,"No"
-1,2,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,2,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,16,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,16,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,23,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,23,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-2,"No"
207,5672,14,-1,-1,2,10,9,11,0,98,23,0,0,0,522,0,237,0,20,211,31,7,178,427,-2,"No"
118,9852,20,-1,-1,1,13,10,14,0,87,31,0,0,0,860,0,392,0,25,292,55,6,255,609,-2,"No"
833,26512,76,-1,-1,2,48,34,47,0,298,120,0,0,0,3772,0,1452,0,135,934,203,35,826,1998,-2,"No"
60,1156,3,-1,-1,1,3,-1,5,0,15,4,0,0,0,163,0,47,0,5,45,6,4,40,96,-2,"No"
79,4247,11,-1,-1,1,8,1,9,0,63,17,0,0,0,462,0,143,0,12,117,39,4,84,244,-2,"No"
8,3549,10,-1,-1,3,8,-1,10,0,31,14,0,0,0,416,0,195,0,13,104,22,-1,89,215,-2,"No"
600,28266,72,-1,-1,6,65,25,83,0,407,133,0,0,0,3622,0,925,0,96,844,182,12,777,1816,-2,"No"
506,8378,16,-1,-1,2,14,10,17,0,90,28,0,0,0,1051,0,371,0,15,245,50,3,213,511,-2,"No"
-1,1299,3,-1,-1,1,3,1,3,0,12,5,0,0,0,84,0,51,0,3,41,8,1,43,93,-2,"No"
75,1678,5,-1,-1,2,4,2,5,0,35,9,0,0,0,225,0,67,0,4,49,11,-1,43,103,-2,"No"
7,3379,9,-1,-1,2,7,6,8,0,39,15,0,0,0,426,0,149,0,15,102,23,4,95,224,-2,"No"
116,9223,21,-1,-1,2,16,13,19,0,134,34,0,0,0,1013,0,515,0,30,251,53,8,254,566,-2,"No"
13,4191,10,-1,-1,7,9,1,11,0,52,17,0,0,0,463,0,198,0,12,136,36,11,123,306,-2,"No"
19,4164,11,-1,-1,1,7,5,8,0,37,19,0,0,0,441,0,245,0,14,126,29,-1,125,280,-2,"No"
448,7632,17,-1,-1,1,14,-1,12,0,68,29,0,0,0,906,0,348,0,17,244,67,5,204,521,-2,"No"
6,1979,5,-1,-1,6,4,2,5,0,29,7,0,0,0,219,0,84,0,10,55,14,-1,51,120,-2,"No"
1,3379,7,-1,-1,1,8,4,8,0,45,13,0,0,0,369,0,188,0,19,104,17,6,101,228,-2,"No"
64,2129,4,-1,-1,6,4,2,4,0,22,7,0,0,0,262,0,108,0,4,76,16,1,53,147,-2,"No"
15,2630,7,-1,-1,1,5,-1,8,0,19,9,0,0,0,309,0,139,0,12,79,18,3,65,165,-2,"No"
5,2053,6,-1,-1,1,4,1,4,0,15,9,0,0,0,181,0,93,0,7,64,13,-1,58,135,-2,"No"
30,2971,9,-1,-1,8,8,2,9,0,36,11,0,0,0,379,0,185,0,15,96,29,3,83,211,-2,"No"
3,1661,5,-1,-1,1,4,0,7,0,28,7,0,0,0,243,0,105,0,8,61,12,8,53,135,-2,"No"
5,1345,5,-1,-1,1,3,0,4,0,17,6,0,0,0,165,0,89,0,2,39,10,0,41,90,-2,"No"
4,3082,8,-1,-1,1,8,2,9,0,29,13,0,0,0,431,0,126,0,12,98,23,3,111,235,-2,"No"
41,2380,6,-1,-1,1,4,3,4,0,20,10,0,0,0,280,0,95,0,3,74,12,6,78,170,-2,"No"
177,2777,6,-1,-1,1,5,-1,7,0,37,8,0,0,0,255,0,126,0,15,83,17,2,82,184,-2,"No"
287,10041,25,-1,-1,1,25,13,31,0,94,40,0,0,0,1249,0,514,0,30,297,75,3,286,662,-2,"No"
11,2869,6,-1,-1,6,7,1,7,0,30,11,0,0,0,259,0,148,0,5,84,21,1,73,180,-2,"No"
21,1289,3,-1,-1,1,3,2,3,0,11,5,0,0,0,148,0,50,0,7,38,6,-1,40,84,-2,"No"
5,4215,10,-1,-1,1,11,3,14,0,64,22,0,0,0,551,0,169,0,10,121,28,2,126,277,-2,"No"
1272,8758,22,-1,-1,6,16,6,15,0,59,31,0,0,0,965,0,440,0,48,298,97,-1,267,662,-2,"No"
979,8918,28,-1,-1,2,19,8,19,0,103,33,0,0,0,1042,0,422,0,26,279,64,22,267,632,-2,"No"
22,2462,4,-1,-1,1,5,2,4,0,31,7,0,0,0,181,0,81,0,4,66,16,1,68,151,-2,"No"
165,9017,23,-1,-1,2,19,6,21,0,128,35,0,0,0,1117,0,436,0,51,287,81,5,223,596,-2,"No"
6,882,2,-1,-1,1,2,2,3,0,8,4,0,0,0,114,0,61,0,1,30,8,-1,28,67,-2,"No"
194,10865,25,-1,-1,2,16,15,15,0,100,45,0,0,0,1239,0,445,0,30,302,67,-1,254,623,-2,"No"
220,6104,12,-1,-1,2,11,1,11,0,50,23,0,0,0,545,0,271,0,28,170,32,-1,158,360,-2,"No"
-1,4622,13,-1,-1,2,10,-1,14,0,67,26,0,0,0,501,0,285,0,5,136,23,-1,132,291,-2,"No"
145,9225,21,-1,-1,2,19,10,23,0,76,39,0,0,0,1080,0,302,0,46,307,78,2,265,653,-2,"No"
61,2779,6,-1,-1,1,5,5,6,0,37,11,0,0,0,356,0,145,0,8,91,22,6,85,204,-2,"No"
4,2327,10,-1,-1,6,3,-1,7,0,23,12,0,0,0,178,0,49,0,10,60,3,-1,71,134,-2,"No"
40,2525,6,-1,-1,2,6,1,6,0,32,10,0,0,0,223,0,130,0,5,82,22,-1,75,179,-2,"No"
167,4053,12,-1,-1,7,7,6,9,0,49,22,0,0,0,473,0,181,0,25,125,34,2,127,289,-2,"No"
599,2899,6,-1,-1,6,5,3,4,0,23,9,0,0,0,194,0,120,0,13,92,23,2,70,188,-2,"No"
39,3170,9,-1,-1,1,8,-1,9,0,26,14,0,0,0,369,0,199,0,10,99,20,4,94,217,-2,"No"
312,5429,14,-1,-1,1,13,2,16,0,85,25,0,0,0,866,0,189,0,25,185,31,2,165,383,-2,"No"
1,1292,3,-1,-1,1,3,1,3,0,10,6,0,0,0,164,0,64,0,3,46,14,-1,44,104,-2,"No"
60,2685,8,-1,-1,1,8,2,9,0,29,14,0,0,0,347,0,146,0,5,88,21,3,68,180,-2,"No"
1,1467,4,-1,-1,6,4,-1,5,0,26,8,0,0,0,140,0,89,0,12,44,13,-1,45,102,-2,"No"
41,1921,5,-1,-1,1,4,2,4,0,21,9,0,0,0,181,0,102,0,4,63,13,4,56,136,-2,"No"
8,3198,9,-1,-1,2,8,3,10,0,27,13,0,0,0,339,0,155,0,12,91,20,3,87,201,-2,"No"
45,1647,4,-1,-1,1,2,2,4,0,16,6,0,0,0,197,0,65,0,3,54,16,5,49,124,-2,"No"
51,3130,8,-1,-1,1,5,5,6,0,27,9,0,0,0,328,0,151,0,12,104,19,1,91,215,-2,"No"
17,2729,6,-1,-1,1,6,6,9,0,21,15,0,0,0,314,0,136,0,6,66,15,1,76,158,-2,"No"
320,3388,10,-1,-1,3,6,5,5,0,41,19,0,0,0,263,0,115,0,12,124,26,4,138,292,-2,"No"
6,6320,13,-1,-1,1,11,1,11,0,59,18,0,0,0,793,0,266,0,21,153,29,7,167,356,-2,"No"
1071,22799,71,-1,-1,7,47,14,52,0,352,81,0,0,0,2622,0,727,0,123,799,171,30,787,1788,-2,"No"
94,5940,16,-1,-1,6,17,-1,19,0,39,29,0,0,0,436,0,329,0,47,191,46,-1,180,417,-2,"No"
16,1689,4,-1,-1,6,2,2,2,0,14,5,0,0,0,165,0,59,0,5,41,7,1,46,95,-2,"No"
36,2701,8,-1,-1,2,5,4,6,0,35,9,0,0,0,321,0,140,0,8,78,17,7,80,182,-2,"No"
889,36109,83,-1,-1,8,60,39,59,0,491,168,0,0,0,4574,0,1718,0,80,1214,218,-1,1095,2527,-2,"No"
7,2343,7,-1,-1,1,6,2,5,0,30,11,0,0,0,211,0,115,0,2,69,16,2,72,159,-2,"No"
-1,934,3,-1,-1,6,3,-1,3,0,11,5,0,0,0,103,0,44,0,2,33,7,-1,26,66,-2,"No"
11,8904,23,-1,-1,3,16,6,13,0,82,31,0,0,0,858,0,462,0,36,246,68,9,256,581,-2,"No"
66,5437,14,-1,-1,1,13,2,16,0,77,26,0,0,0,525,0,273,0,10,160,38,2,161,361,-2,"No"
71,10002,23,-1,-1,1,12,14,12,0,73,30,0,0,0,801,0,487,0,20,333,71,8,307,719,-2,"No"
317,8556,20,-1,-1,2,16,7,13,0,73,25,0,0,0,885,0,422,0,25,255,43,-1,241,539,-2,"No"
5,508,2,-1,-1,0,2,-1,4,0,13,4,0,0,0,67,0,26,0,1,18,2,-1,23,43,-2,"No"
-1,2026,6,-1,-1,1,6,-1,9,0,35,15,0,0,0,277,0,111,0,7,57,11,-1,60,128,-2,"No"
4,3029,7,-1,-1,1,6,-1,7,0,48,13,0,0,0,375,0,114,0,19,94,14,3,91,202,-2,"No"
200,19146,47,-1,-1,1,27,19,28,0,164,73,0,0,0,1911,0,951,0,50,575,142,32,509,1258,-2,"No"
-1,1531,5,-1,-1,1,4,-1,5,0,14,9,0,0,0,149,0,111,0,6,54,20,-1,50,125,-2,"No"
30,3718,9,-1,-1,6,9,-1,11,0,36,16,0,0,0,385,0,130,0,7,107,26,0,92,226,-2,"No"
-1,1257,3,-1,-1,1,3,-1,4,0,19,6,0,0,0,176,0,56,0,2,33,5,1,37,76,-2,"No"
1339,64375,137,-1,-1,14,101,73,115,0,756,236,0,0,0,8076,0,3401,0,361,1882,410,102,1654,4049,-2,"No"
-1,4300,12,-1,-1,1,9,2,12,0,35,25,0,0,0,402,0,223,0,15,126,30,3,154,313,-2,"No"
1138,31618,97,-1,-1,5,59,32,61,0,429,145,0,0,0,3455,0,1289,0,91,948,226,4,785,1963,-2,"No"
227,7771,17,-1,-1,1,16,10,20,0,75,28,0,0,0,963,0,517,0,24,267,62,4,261,595,-2,"No"
6,4328,10,-1,-1,1,8,4,6,0,50,14,0,0,0,323,0,175,0,20,118,33,-1,166,318,-2,"No"
22,2711,7,-1,-1,2,4,5,7,0,32,11,0,0,0,160,0,86,0,6,88,16,2,84,190,-2,"No"
164,1412,3,-1,-1,1,2,2,2,0,9,5,0,0,0,117,0,53,0,2,49,12,-1,40,101,-2,"No"
68,4181,9,-1,-1,2,9,9,9,0,81,17,0,0,0,380,0,166,0,14,147,36,9,134,327,-2,"No"
-1,1428,3,-1,-1,1,3,0,3,0,11,4,0,0,0,170,0,61,0,5,50,10,2,51,113,-2,"No"
233,3983,9,-1,-1,1,7,5,7,0,39,15,0,0,0,388,0,193,0,10,127,33,3,110,273,-2,"No"
10,2479,7,-1,-1,2,5,3,8,0,28,11,0,0,0,287,0,147,0,10,79,14,-1,71,165,-2,"No"
21,4179,9,-1,-1,1,8,1,8,0,50,11,0,0,0,476,0,134,0,5,112,32,1,111,256,-2,"No"
3,1999,4,-1,-1,1,4,-1,5,0,29,9,0,0,0,233,0,109,0,3,59,20,1,51,131,-2,"No"
9,5812,16,-1,-1,1,10,7,10,0,53,21,0,0,0,606,0,280,0,10,176,46,1,142,365,-2,"No"
9,3145,10,-1,-1,2,8,-1,10,0,30,15,0,0,0,335,0,169,0,10,79,24,4,79,186,-2,"No"
15,1090,3,-1,-1,1,3,-1,3,0,12,4,0,0,0,127,0,45,0,1,34,8,1,32,75,-2,"No"
10,2204,6,-1,-1,1,5,0,6,0,39,10,0,0,0,314,0,127,0,5,63,14,-1,70,147,-2,"No"
74,2286,6,-1,-1,1,4,2,6,0,30,9,0,0,0,239,0,124,0,4,70,19,-1,64,154,-2,"No"
-1,1493,3,-1,-1,1,3,2,4,0,16,5,0,0,0,159,0,55,0,2,46,12,-1,40,98,-2,"No"
7,3383,8,-1,-1,9,7,3,8,0,62,13,0,0,0,397,0,189,0,8,105,18,7,99,229,-2,"No"
536,2398,6,-1,-1,1,4,3,4,0,24,11,0,0,0,226,0,76,0,5,88,22,-1,72,183,-2,"No"
55,2683,7,-1,-1,6,6,5,6,0,46,11,0,0,0,282,0,160,0,7,85,25,2,72,184,-2,"No"
12,4181,12,-1,-1,1,11,2,14,0,55,17,0,0,0,423,0,167,0,19,128,36,17,94,276,-2,"No"
9,1180,4,-1,-1,1,3,1,4,0,20,5,0,0,0,196,0,57,0,3,42,14,6,40,104,-2,"No"
1739,26299,61,-1,-1,2,39,31,38,0,232,101,0,0,0,2058,0,1436,0,129,969,202,20,827,2019,-2,"No"
74,8283,18,-1,-1,7,16,-1,18,0,64,35,0,0,0,947,0,273,0,18,247,55,-1,228,530,-2,"No"
1,2283,6,-1,-1,1,6,0,7,0,44,10,0,0,0,324,0,144,0,2,69,12,-1,81,162,-2,"No"
10,2363,5,-1,-1,1,4,4,5,0,30,9,0,0,0,207,0,109,0,8,91,16,3,72,182,-2,"No"
15,2573,7,-1,-1,1,7,1,8,0,31,12,0,0,0,265,0,123,0,13,79,21,-1,71,171,-2,"No"
34,7925,22,-1,-1,7,17,8,18,0,100,39,0,0,0,821,0,393,0,38,258,63,1,223,547,-2,"No"
12,3167,8,-1,-1,1,6,3,7,0,35,12,0,0,0,424,0,195,0,4,94,18,-1,106,218,-2,"No"
27,2023,5,-1,-1,1,3,3,3,0,14,6,0,0,0,229,0,83,0,4,68,16,3,59,146,-2,"No"
17,1371,3,-1,-1,1,3,2,6,0,22,8,0,0,0,189,0,70,0,5,45,11,-1,43,99,-2,"No"
8,1581,4,-1,-1,1,3,3,3,0,16,6,0,0,0,168,0,57,0,5,51,10,-1,47,108,-2,"No"
13,2298,6,-1,-1,1,3,2,4,0,25,11,0,0,0,358,0,95,0,9,78,15,-1,58,151,-2,"No"
190,10392,27,-1,-1,3,19,10,24,0,120,44,0,0,0,1469,0,517,0,77,336,71,26,281,715,-2,"No"
181,16968,37,-1,-1,6,32,19,33,0,169,54,0,0,0,2303,0,880,0,54,495,94,14,440,1044,-2,"No"
4,1519,4,-1,-1,1,4,1,7,0,19,5,0,0,0,143,0,41,0,7,45,9,1,46,101,-2,"No"
73,5935,13,-1,-1,2,10,-1,8,0,69,21,0,0,0,497,0,207,0,13,211,57,16,167,451,-2,"No"
47,8398,22,-1,-1,2,20,3,23,0,111,34,0,0,0,1068,0,529,0,13,266,54,1,243,565,-2,"No"
6,3582,9,-1,-1,6,8,2,8,0,29,14,0,0,0,334,0,179,0,12,124,23,-1,130,277,-2,"No"
-1,2165,6,-1,-1,1,6,3,7,0,29,13,0,0,0,232,0,120,0,10,63,15,5,57,140,-2,"No"
20,1325,4,-1,-1,0,3,2,3,0,11,6,0,0,0,126,0,49,0,2,42,12,1,38,93,-2,"No"
9,2774,8,-1,-1,1,10,-1,10,0,42,12,0,0,0,353,0,182,0,2,94,25,2,81,202,-2,"No"
2704,3992,3,135,33,39,3,3,28,0,26,28,0,0,0,603,0,110,0,1,152,11,1,114,278,-2,"No"
1592,2045,10,55,17,9,0,4,11,0,8,17,0,0,0,222,0,57,0,3,72,5,0,58,135,-2,"No"
408,467,3,17,8,4,0,2,3,0,2,7,0,0,0,64,0,12,0,0,15,4,0,21,40,-2,"No"
263,329,0,14,1,4,1,1,1,0,3,5,0,0,0,32,0,9,0,0,12,1,0,16,29,-2,"No"
71,405,1,2,3,5,0,0,1,0,0,3,0,0,0,15,0,5,0,0,0,0,0,20,20,-2,"No"
2,283,0,4,2,2,0,1,7,0,2,3,0,0,0,39,0,7,0,0,16,1,0,15,33,-2,"No"
0,38,0,2,2,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,2,0,0,2,5,-2,"No"
1038,1660,3,104,10,5,1,1,15,0,15,28,0,0,0,220,0,100,0,2,69,10,1,77,158,-2,"No"
2,183,0,5,1,3,0,1,2,0,2,1,0,0,0,26,0,5,0,0,6,1,0,8,15,-2,"No"
89,411,0,16,3,5,0,1,8,0,1,3,0,0,0,61,0,10,0,0,13,1,0,13,28,-2,"No"
29,411,0,13,2,2,0,1,2,0,4,3,0,0,0,51,0,9,0,0,12,1,0,13,26,-2,"No"
4,535,1,25,4,3,0,0,8,0,5,5,0,0,0,87,0,14,0,0,18,2,0,18,38,-2,"No"
5,754,1,8,0,3,0,1,5,0,5,3,0,0,0,62,0,9,0,1,12,1,1,18,32,-2,"No"
185,1257,2,13,5,4,2,2,8,0,8,5,0,0,0,120,0,19,0,1,20,3,1,34,59,-2,"No"
14,512,2,17,2,5,0,1,2,0,2,4,0,0,0,87,0,17,0,0,17,1,0,21,40,-2,"No"
53,3797,2,6,11,5,1,5,4,0,12,6,0,0,0,156,0,45,0,0,20,1,3,36,61,-2,"No"
59,2274,4,58,8,10,6,4,10,0,14,12,0,0,0,317,0,54,0,6,55,8,7,74,145,-2,"No"
5282,48857,111,655,262,147,74,22,97,0,464,233,0,0,0,6682,0,746,0,226,1233,178,35,1238,2685,-2,"No"
520,5109,14,109,28,14,7,3,12,0,55,20,0,0,0,765,0,83,0,22,132,16,4,162,315,-2,"No"
53,1400,4,30,4,6,3,0,6,0,11,11,0,0,0,215,0,14,0,4,39,7,2,52,100,-2,"No"
7,319,1,13,1,1,0,0,4,0,2,3,0,0,0,49,0,9,0,0,7,0,0,10,18,-2,"No"
2,134,0,8,2,5,0,1,2,0,0,2,0,0,0,16,0,7,0,0,4,0,0,5,10,-2,"No"
1,77,0,2,0,2,0,0,1,0,0,0,0,0,0,13,0,2,0,0,4,0,0,5,9,-2,"No"
3,102,0,3,0,2,1,0,1,0,0,1,0,0,0,10,0,2,0,0,3,0,0,4,8,-2,"No"
198,9486,13,121,50,11,8,9,45,0,67,57,0,0,0,1341,0,135,0,48,227,24,7,271,529,-2,"No"
1,137,0,5,1,2,0,0,1,0,1,1,0,0,0,20,0,4,0,0,5,0,0,5,11,-2,"No"
310,2689,5,63,20,6,1,1,16,0,16,20,0,0,0,425,0,50,0,14,86,8,2,86,182,-2,"No"
3,410,2,19,6,4,0,0,15,0,3,10,0,0,0,45,0,30,0,1,20,0,0,23,43,-2,"No"
507,16159,26,202,59,31,22,0,41,0,114,68,0,0,0,2107,0,110,0,81,399,43,0,455,897,-2,"No"
44,309,0,4,4,6,0,0,9,0,1,2,0,0,0,47,0,8,0,0,9,0,0,15,25,-2,"No"
0,290,2,5,2,2,0,1,3,0,3,2,0,0,0,54,0,9,0,1,9,1,0,15,26,-2,"No"
74,896,1,7,3,3,0,1,2,0,4,1,0,0,0,94,0,13,0,0,4,1,0,13,19,-2,"No"
53,727,2,12,6,6,1,1,5,0,5,4,0,0,0,103,0,20,0,0,23,3,0,23,49,-2,"No"
421,14227,44,241,65,39,26,12,34,0,133,92,0,0,0,2014,0,267,0,67,357,44,10,375,787,-2,"No"
575,1864,5,47,18,14,1,0,11,0,28,16,0,0,0,229,0,93,0,0,54,11,7,81,154,-2,"No"
894,1942,3,85,15,12,1,0,13,0,18,16,0,0,0,288,0,72,0,1,67,10,1,75,153,-2,"No"
0,16,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,1,-2,"No"
17,558,3,16,1,5,1,0,3,0,4,2,0,0,0,103,0,6,0,0,13,2,0,20,36,-2,"No"
0,112,0,5,2,1,0,0,2,0,1,0,0,0,0,9,0,3,0,0,5,1,0,5,11,-2,"No"
95,189,0,3,0,1,0,0,1,0,1,1,0,0,0,18,0,4,0,0,6,1,0,5,12,-2,"No"
1,110,0,2,1,1,0,0,1,0,0,0,0,0,0,18,0,3,0,0,3,1,0,7,11,-2,"No"
1,154,0,8,3,3,0,0,10,0,0,4,0,0,0,45,0,10,0,0,6,0,0,10,16,-2,"No"
